idkab,kodekec,namakec,kode
3201,01,Nanggung,0205
3201,02,Leuwiliang,0205
3201,03,Pamijahan,0205
3201,04,Cibungbulang,0205
3201,05,Ciampea,0205
3201,06,Dramaga,0205
3201,07,Ciomas,0205
3201,08,Cijeruk,0205
3201,09,Caringin,0205
3201,10,Ciawi,0205
3201,11,Cisarua,0205
3201,12,Megamendung,0205
3201,13,Sukaraja,0205
3201,14,Babakan Madang,0205
3201,15,Sukamakmur,0205
3201,16,Cariu,0205
3201,17,Jonggol,0205
3201,18,Cileungsi,0205
3201,19,Gunungputri,0205
3201,20,Citeureup,0205
3201,21,Cibinong,0205
3201,22,Bojong Gede,0205
3201,23,Kemang,0205
3201,24,Parung,0205
3201,25,Gunung Sindur,0205
3201,26,Rumpin,0205
3201,27,Cigudeg,0205
3201,28,Jasinga,0205
3201,29,Tenjo,0205
3201,30,Parungpanjang,0205
3201,31,Tamansari,0205
3201,32,Ciseeng,0205
3201,33,Klapanunggal,0205
3201,34,Sukajaya,0205
3201,35,Ranca Bungur,0205
3201,36,Tanjung Sari,0205
3201,37,Tajurhalang,0205
3201,38,Cigombong,0205
3201,39,Leuwisadeng,0205
3201,40,Tenjolaya,0205
3202,01,Ciemas,0206
3202,02,Ciracap,0206
3202,03,Surade,0206
3202,04,Jampang Kulon,0206
3202,05,Kalibunder,0206
3202,06,Tegalbuleud,0206
3202,07,Cidolog,0206
3202,08,Sagaranten,0206
3202,09,Pabuaran,0206
3202,10,Lengkong,0206
3202,11,Pelabuhan Ratu,0206
3202,12,Warung Kiara,0206
3202,13,Jampang Tengah,0206
3202,14,Cikembar,0206
3202,15,Nyalindung,0206
3202,16,Gegerbitung,0206
3202,17,Sukaraja,0206
3202,18,Sukabumi,0206
3202,19,Kadudampit,0206
3202,20,Cisaat,0206
3202,21,Cibadak,0206
3202,22,Nagrak,0206
3202,23,Cicurug,0206
3202,24,Cidahu,0206
3202,25,Parakansalak,0206
3202,26,Parungkuda,0206
3202,27,Kalapa Nunggal,0206
3202,28,Cikidang,0206
3202,29,Cisolok,0206
3202,30,Kabandungan,0206
3202,31,Gunung Guruh,0206
3202,32,Cikakak,0206
3202,33,Bantar Gadung,0206
3202,34,Cicantayan,0206
3202,35,Simpenan,0206
3202,36,Kebon Pedes,0206
3202,37,Cidadap,0206
3202,38,Cibitung,0206
3202,39,Curugkembar,0206
3202,40,Purabaya,0206
3202,41,Cireunghas,0206
3202,42,Sukalarang,0206
3202,43,Caringin,0206
3202,44,Bojong Genteng,0206
3202,45,Waluran,0206
3202,46,Cimanggu,0206
