iddesa,idkec,idkab
3201220002,3201220,3201
3201220003,3201220,3201
3201220004,3201220,3201
3201220005,3201220,3201
3201220011,3201220,3201
3201220012,3201220,3201
3201220013,3201220,3201
3201220014,3201220,3201
3201220015,3201220,3201
3202200007,3202200,3202
3202200008,3202200,3202
3202200009,3202200,3202
3202200010,3202200,3202
3202200011,3202200,3202
3202200012,3202200,3202
3202200013,3202200,3202
3202200014,3202200,3202
3202200015,3202200,3202
3202200016,3202200,3202
3202200017,3202200,3202
3202200018,3202200,3202
3202200019,3202200,3202
3203220001,3203220,3203
3203220002,3203220,3203
3203220003,3203220,3203
3203220004,3203220,3203
3203220005,3203220,3203
3203220008,3203220,3203
3203220014,3203220,3203
3204270001,3204270,3204
3204270002,3204270,3204
3204270003,3204270,3204
3204270004,3204270,3204
3204270005,3204270,3204
3204270006,3204270,3204
3205230003,3205230,3205
3205230004,3205230,3205
3205230005,3205230,3205
3205230006,3205230,3205
3205230007,3205230,3205
3205230008,3205230,3205
3205230009,3205230,3205
3205230010,3205230,3205
3205230011,3205230,3205
3205230012,3205230,3205
3205230013,3205230,3205
3205230014,3205230,3205
3205230015,3205230,3205
3205230016,3205230,3205
3205230017,3205230,3205
3206191001,3206191,3206
3206191002,3206191,3206
3206191003,3206191,3206
3206191004,3206191,3206
3206191005,3206191,3206
3206191006,3206191,3206
3207210001,3207210,3207
3207210002,3207210,3207
3207210003,3207210,3207
3207210004,3207210,3207
3207210005,3207210,3207
3207210006,3207210,3207
3207210007,3207210,3207
3207210008,3207210,3207
3207210009,3207210,3207
3207210010,3207210,3207
3207210011,3207210,3207
3207210012,3207210,3207
3208010001,3208010,3208
3208010002,3208010,3208
3208010003,3208010,3208
3208010004,3208010,3208
3208010005,3208010,3208
3208010006,3208010,3208
3208010007,3208010,3208
3208010008,3208010,3208
3208010009,3208010,3208
3208010010,3208010,3208
3208010011,3208010,3208
3208010012,3208010,3208
3208010013,3208010,3208
3208010014,3208010,3208
3208010015,3208010,3208
3208010016,3208010,3208
3208010017,3208010,3208
3208010018,3208010,3208
3208010019,3208010,3208
3208010999,3208010,3208
3209040001,3209040,3209
3209040002,3209040,3209
3209040003,3209040,3209
3209040004,3209040,3209
3209040005,3209040,3209
3209040006,3209040,3209
3209040007,3209040,3209
3209040008,3209040,3209
3209040009,3209040,3209
3209040010,3209040,3209
3209040011,3209040,3209
3209040012,3209040,3209
3209040013,3209040,3209
3209040014,3209040,3209
3210080001,3210080,3210
3210080002,3210080,3210
3210080003,3210080,3210
3210080004,3210080,3210
3210080005,3210080,3210
3210080006,3210080,3210
3210080007,3210080,3210
3210080008,3210080,3210
3210080009,3210080,3210
3210080010,3210080,3210
3211150001,3211150,3211
3211150002,3211150,3211
3211150003,3211150,3211
3211150004,3211150,3211
3211150005,3211150,3211
3211150006,3211150,3211
3211150007,3211150,3211
3211150008,3211150,3211
3211150009,3211150,3211
3211150010,3211150,3211
3212130001,3212130,3212
3212130002,3212130,3212
3212130003,3212130,3212
3212130004,3212130,3212
3212130005,3212130,3212
3212130006,3212130,3212
3212130007,3212130,3212
3212130008,3212130,3212
3212130009,3212130,3212
3212130010,3212130,3212
3212130011,3212130,3212
3212130012,3212130,3212
3212130013,3212130,3212
3212130014,3212130,3212
3212130015,3212130,3212
3213081001,3213081,3213
3213081002,3213081,3213
3213081003,3213081,3213
3213081004,3213081,3213
3213081005,3213081,3213
3213081006,3213081,3213
3213081007,3213081,3213
3213081008,3213081,3213
3213081009,3213081,3213
3213081010,3213081,3213
3214080001,3214080,3214
3214080002,3214080,3214
3214080003,3214080,3214
3214080004,3214080,3214
3214080005,3214080,3214
3214080006,3214080,3214
3214080007,3214080,3214
3214080008,3214080,3214
3214080009,3214080,3214
3214080016,3214080,3214
3214080017,3214080,3214
3214080018,3214080,3214
3214080019,3214080,3214
3214080020,3214080,3214
3214080021,3214080,3214
3215111001,3215111,3215
3215111002,3215111,3215
3215111003,3215111,3215
3215111004,3215111,3215
3215111005,3215111,3215
3215111006,3215111,3215
3215111007,3215111,3215
3216031001,3216031,3216
3216031002,3216031,3216
3216031003,3216031,3216
3216031004,3216031,3216
3216031005,3216031,3216
3216031006,3216031,3216
3217100001,3217100,3217
3217100002,3217100,3217
3217100003,3217100,3217
3217100004,3217100,3217
3217100005,3217100,3217
3217100006,3217100,3217
3217100007,3217100,3217
3217100008,3217100,3217
3217100009,3217100,3217
3217100010,3217100,3217
3217100011,3217100,3217
3218070001,3218070,3218
3218070002,3218070,3218
3218070003,3218070,3218
3218070004,3218070,3218
3218070005,3218070,3218
3218070006,3218070,3218
3218070007,3218070,3218
3218070008,3218070,3218
3271010001,3271010,3271
3271010002,3271010,3271
3271010003,3271010,3271
3271010004,3271010,3271
3271010005,3271010,3271
3271010006,3271010,3271
3271010007,3271010,3271
3271010008,3271010,3271
3271010009,3271010,3271
3271010010,3271010,3271
3271010011,3271010,3271
3271010012,3271010,3271
3271010013,3271010,3271
3271010014,3271010,3271
3271010015,3271010,3271
3271010016,3271010,3271
3272020001,3272020,3272
3272020002,3272020,3272
3272020003,3272020,3272
3272020004,3272020,3272
3272020005,3272020,3272
3273060001,3273060,3273
3273060002,3273060,3273
3273060003,3273060,3273
3273060004,3273060,3273
3273060005,3273060,3273
3273060006,3273060,3273
3273060007,3273060,3273
3274040001,3274040,3274
3274040002,3274040,3274
3274040003,3274040,3274
3274040004,3274040,3274
3274040005,3274040,3274
3276021001,3276021,3276
3276021002,3276021,3276
3276021003,3276021,3276
3276021004,3276021,3276
3276021005,3276021,3276
3277030001,3277030,3277
3277030002,3277030,3277
3277030003,3277030,3277
3277030004,3277030,3277
3278040001,3278040,3278
3278040002,3278040,3278
3278040003,3278040,3278
3278040004,3278040,3278
3278040005,3278040,3278
3279020001,3279020,3279
3279020002,3279020,3279
3279020003,3279020,3279
3279020004,3279020,3279
