KAKO;KECAMATAN;GENDER;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75+
KAB. BOGOR;CIBINONG;LAKI-LAKI;3628;14051;15781;15545;15335;12612;11987;12450;13829;13307;12358;9721;6525;3964;2058;1424
KAB. BOGOR;GUNUNG PUTRI;LAKI-LAKI;3033;10321;12341;12450;12568;10170;9118;9049;10808;11032;10795;8382;5026;2639;1462;1241
KAB. BOGOR;CITEUREUP;LAKI-LAKI;2361;8247;9033;8595;8471;7088;7120;7159;7342;6690;6333;4455;2821;2013;1106;657
KAB. BOGOR;SUKARAJA;LAKI-LAKI;2841;8292;8499;8096;7717;6662;6696;7090;7106;6554;6028;4251;2950;1999;1224;953
KAB. BOGOR;BABAKAN MADANG;LAKI-LAKI;3506;5480;5751;5223;5361;4711;4859;4500;4206;3656;3139;2120;1574;912;567;456
KAB. BOGOR;JONGGOL;LAKI-LAKI;1357;5817;6444;6407;6274;5183;5031;5027;5499;5506;5207;3844;2788;1868;1241;1135
KAB. BOGOR;CILEUNGSI;LAKI-LAKI;3358;12415;13316;12511;11586;9424;9685;10552;11744;11327;9931;7129;4440;2576;1493;1168
KAB. BOGOR;CARIU;LAKI-LAKI;569;1878;2021;1884;2091;1938;1802;1787;1896;1743;1725;1483;1169;877;636;582
KAB. BOGOR;SUKAMAKMUR;LAKI-LAKI;1242;3773;3836;3688;4209;3634;3289;2893;2997;2421;2265;1914;1518;870;574;568
KAB. BOGOR;PARUNG;LAKI-LAKI;1511;4880;5195;4811;4767;4111;4034;3904;4550;4134;3652;2901;1989;1338;835;653
KAB. BOGOR;GUNUNG SINDUR;LAKI-LAKI;1584;4965;5714;5217;4728;4040;4173;4508;5333;4796;4096;2979;2114;1379;893;685
KAB. BOGOR;KEMANG;LAKI-LAKI;1318;4131;4361;3927;3828;3392;3419;3587;3915;3476;3184;2352;1705;1226;743;626
KAB. BOGOR;BOJONG GEDE;LAKI-LAKI;5347;12150;13638;13520;13048;10720;10112;10166;11162;10317;9522;8061;5892;3312;1817;1069
KAB. BOGOR;LEUWILIANG;LAKI-LAKI;2102;5925;6010;5644;6018;5400;5011;4934;4785;3933;3651;2799;2222;1470;926;880
KAB. BOGOR;CIAMPEA;LAKI-LAKI;1846;6950;7482;6872;7221;6364;6125;6280;6531;5581;4900;3833;2946;2047;1358;1070
KAB. BOGOR;CIBUNGBULANG;LAKI-LAKI;2745;6565;6666;6300;6460;5689;5368;5409;5440;4679;4073;3033;2293;1450;916;757
KAB. BOGOR;PAMIJAHAN;LAKI-LAKI;2856;7773;7511;7300;7822;6945;6466;6192;5859;4800;4516;3186;2548;1698;1195;1251
KAB. BOGOR;RUMPIN;LAKI-LAKI;709;3988;5113;4943;5063;4306;4542;4419;3938;3159;2708;2279;1850;1323;805;823
KAB. BOGOR;JASINGA;LAKI-LAKI;1846;4589;4887;4581;4694;4619;4342;4150;3699;3031;2609;2232;1675;1127;696;667
KAB. BOGOR;PARUNG PANJANG;LAKI-LAKI;1034;4449;5077;4954;4761;4332;4433;4319;4095;3236;3112;2641;2019;1261;749;620
KAB. BOGOR;NANGGUNG;LAKI-LAKI;1009;4168;4095;3757;4034;3656;3769;3613;3304;2500;2398;1777;1456;914;552;599
KAB. BOGOR;CIGUDEG;LAKI-LAKI;1679;5707;5798;5315;5534;5823;6012;5550;4844;3630;3177;2686;2403;1632;987;894
KAB. BOGOR;TENJO;LAKI-LAKI;464;2895;3209;2916;3007;2759;2764;2656;2326;1859;1656;1279;1041;663;432;422
KAB. BOGOR;CIAWI;LAKI-LAKI;2223;4924;5140;4953;5030;4422;4134;3974;3943;3711;3338;2461;1860;1218;888;641
KAB. BOGOR;CISARUA;LAKI-LAKI;1528;5786;5810;5422;5467;5083;4805;4631;4482;3930;3591;2689;2043;1543;1075;855
KAB. BOGOR;MEGAMENDUNG;LAKI-LAKI;1377;5025;5192;4856;5081;4696;4395;4209;4179;3423;3093;2322;1866;1305;957;826
KAB. BOGOR;CARINGIN;LAKI-LAKI;2152;6096;6245;5623;5895;5303;5198;4998;4640;3967;3433;2521;2050;1477;957;899
KAB. BOGOR;CIJERUK;LAKI-LAKI;1328;4667;4644;4253;4653;4271;3930;3604;3507;2767;2522;1939;1502;1063;741;744
KAB. BOGOR;CIOMAS;LAKI-LAKI;3673;7302;7810;7223;7346;6265;6126;6191;6881;6025;5372;4193;3323;2202;1366;888
KAB. BOGOR;DRAMAGA;LAKI-LAKI;1970;4959;5304;4893;4847;4044;3750;4067;4546;3835;3263;2572;1893;1336;825;706
KAB. BOGOR;TAMANSARI;LAKI-LAKI;2005;4948;5054;4588;4696;4367;4464;4251;4538;3692;3216;2340;1922;1283;840;734
KAB. BOGOR;KLAPANUNGGAL;LAKI-LAKI;3181;7140;6459;5426;4754;4899;5829;6189;6026;4951;3823;2439;1647;1102;701;595
KAB. BOGOR;CISEENG;LAKI-LAKI;1074;4378;4727;4359;4541;4090;3939;3807;4033;3263;2949;2190;1791;1170;813;830
KAB. BOGOR;RANCA BUNGUR;LAKI-LAKI;663;2495;2630;2499;2518;2309;2153;2042;2245;1923;1663;1317;1087;724;517;440
KAB. BOGOR;SUKAJAYA;LAKI-LAKI;587;2919;3040;2834;3334;3145;3284;2877;2263;1725;1650;1295;1119;729;474;586
KAB. BOGOR;TANJUNGSARI;LAKI-LAKI;879;2477;2621;2495;2465;2147;2165;2087;2054;1815;1770;1414;1262;814;492;523
KAB. BOGOR;TAJURHALANG;LAKI-LAKI;1014;4884;5276;5211;5410;4435;3926;3992;4519;4348;3930;3247;2329;1513;906;746
KAB. BOGOR;CIGOMBONG;LAKI-LAKI;1284;4554;4769;4410;4597;4005;3789;3676;3502;3163;2758;2164;1678;1155;883;714
KAB. BOGOR;LEUWISADENG;LAKI-LAKI;1342;3508;3548;3466;3682;3339;3249;3142;2864;2292;2149;1587;1207;828;484;430
KAB. BOGOR;TENJOLAYA;LAKI-LAKI;1956;3176;3248;2994;3105;2978;2824;2644;2674;2182;1927;1426;1166;769;557;498
KAB. BOGOR;KAB. BOGOR;LAKI-LAKI;76181;228647;243295;229961;232018;203376;198117;196575;202104;178379;161482;123453;90709;58789;36741;30855
KAB. BOGOR;CIBINONG;PEREMPUAN;3338;13298;14699;14687;14515;12748;12857;12927;14792;14262;12404;9009;593;3305;1754;1748
KAB. BOGOR;GUNUNG PUTRI;PEREMPUAN;2979;9706;11393;11878;11966;10446;9966;9868;12486;12299;10612;7012;3983;2194;1289;1404
KAB. BOGOR;CITEUREUP;PEREMPUAN;2233;7703;8114;802;8054;7053;7478;6847;7521;7322;5851;3893;2678;1537;779;711
KAB. BOGOR;SUKARAJA;PEREMPUAN;2558;7619;7931;7466;7385;6466;6975;6989;715;6629;5655;4053;2793;1802;1114;1033
KAB. BOGOR;BABAKAN MADANG;PEREMPUAN;3295;508;5332;4908;4953;4781;4626;4325;4088;347;2798;1951;131;778;507;474
KAB. BOGOR;JONGGOL;PEREMPUAN;1388;5374;6147;6063;577;4864;5413;5298;5992;5955;4732;3398;2479;167;1123;1181
KAB. BOGOR;CILEUNGSI;PEREMPUAN;3105;1123;12481;11642;10789;9796;1098;11293;12743;12103;9071;6067;3922;2335;1326;1286
KAB. BOGOR;CARIU;PEREMPUAN;549;1837;1932;1797;189;186;1753;1878;2002;1895;1656;15;1139;873;622;721
KAB. BOGOR;SUKAMAKMUR;PEREMPUAN;1154;3627;3574;3509;3751;3293;3183;2937;2938;2249;2025;1652;1099;608;378;449
KAB. BOGOR;PARUNG;PEREMPUAN;1428;4396;468;4569;443;4104;4209;4225;4651;4077;3401;2601;1949;1257;695;659
KAB. BOGOR;GUNUNG SINDUR;PEREMPUAN;1442;4583;5242;4836;4479;4078;4463;5181;5326;4589;3554;2775;1901;1194;734;694
KAB. BOGOR;KEMANG;PEREMPUAN;1246;3792;3856;3742;3577;3523;3646;3589;3958;3442;3041;2166;1643;1047;637;672
KAB. BOGOR;BOJONG GEDE;PEREMPUAN;5172;11601;12408;12504;1225;10843;10959;10663;11804;10837;978;7724;5217;2981;1572;1184
KAB. BOGOR;LEUWILIANG;PEREMPUAN;1927;548;5604;5192;5678;4986;4837;4581;4451;3849;3273;2675;196;1176;773;989
KAB. BOGOR;CIAMPEA;PEREMPUAN;1703;6366;6908;6335;6676;588;5874;5839;6253;5218;4692;3555;2879;1896;1122;126
KAB. BOGOR;CIBUNGBULANG;PEREMPUAN;2423;5958;6238;5865;584;5131;5141;5075;5049;4343;3786;2951;2156;1382;855;853
KAB. BOGOR;PAMIJAHAN;PEREMPUAN;2652;7183;7154;67;7326;6326;5983;5822;5289;4521;389;2875;224;1585;1018;1268
KAB. BOGOR;RUMPIN;PEREMPUAN;628;3725;4652;4598;4657;4292;4473;4034;3511;2786;2525;2254;1599;956;631;729
KAB. BOGOR;JASINGA;PEREMPUAN;1764;4201;4514;4079;4339;4113;4003;3725;3221;2821;2426;2138;1601;1149;740;842
KAB. BOGOR;PARUNG PANJANG;PEREMPUAN;872;4087;4701;4475;4367;4338;4731;4133;3732;3369;3002;2473;1676;1062;589;655
KAB. BOGOR;NANGGUNG;PEREMPUAN;951;3658;3818;3582;3715;3385;3822;343;2874;2466;2078;1541;1197;678;436;560
KAB. BOGOR;CIGUDEG;PEREMPUAN;1521;5084;5365;4985;5277;5466;5402;4697;3917;3167;2938;2527;2153;1303;791;853
KAB. BOGOR;TENJO;PEREMPUAN;476;2662;2903;2699;2744;2727;277;2497;2073;1779;1443;125;885;602;374;491
KAB. BOGOR;CIAWI;PEREMPUAN;2000;4755;4825;4613;4549;3985;391;3647;3828;3586;3079;2337;1725;1227;726;665
KAB. BOGOR;CISARUA;PEREMPUAN;1465;5265;5433;4977;5108;4738;4689;4348;4169;37;3253;2495;1893;1295;835;943
KAB. BOGOR;MEGAMENDUNG;PEREMPUAN;1368;4655;4853;4646;4628;4171;4157;3754;3678;3186;277;2197;1706;1158;796;912
KAB. BOGOR;CARINGIN;PEREMPUAN;1832;5469;5972;5422;5617;5094;4986;4586;4274;3713;3148;2422;1968;1293;813;943
KAB. BOGOR;CIJERUK;PEREMPUAN;1188;4461;4418;3987;4283;3669;3557;3259;3039;2601;2312;1838;1351;907;606;745
KAB. BOGOR;CIOMAS;PEREMPUAN;3565;6851;7117;6845;6822;6214;6128;6187;6853;6082;5202;4274;3391;2145;1221;1018
KAB. BOGOR;DRAMAGA;PEREMPUAN;1826;4535;4659;448;4389;3668;378;3988;4331;3606;3093;2456;1814;1303;754;811
KAB. BOGOR;TAMANSARI;PEREMPUAN;1949;472;4721;4347;4406;4114;423;3971;4207;347;2995;232;1814;1159;749;785
KAB. BOGOR;KLAPANUNGGAL;PEREMPUAN;2877;6612;6056;5049;464;5326;6199;5896;5677;4582;3048;2071;1477;884;582;606
KAB. BOGOR;CISEENG;PEREMPUAN;1046;406;4329;4128;4262;3839;4022;3819;3657;298;2603;2008;1506;990;613;774
KAB. BOGOR;RANCA BUNGUR;PEREMPUAN;612;2406;2426;2375;2318;2125;2107;2105;2082;184;1522;1231;988;649;442;482
KAB. BOGOR;SUKAJAYA;PEREMPUAN;542;2795;2741;2657;3217;297;3009;2435;195;1642;1571;1249;916;617;422;600
KAB. BOGOR;TANJUNGSARI;PEREMPUAN;758;2268;2445;2293;2259;2038;2214;2062;2075;1888;1632;1456;1117;699;452;616
KAB. BOGOR;TAJURHALANG;PEREMPUAN;986;4441;5001;5002;4836;4278;423;4263;478;4382;3875;3022;2167;1363;837;848
KAB. BOGOR;CIGOMBONG;PEREMPUAN;1227;4219;4484;4115;4268;3798;36;3613;3405;3069;2681;1967;1634;1147;725;783
KAB. BOGOR;LEUWISADENG;PEREMPUAN;1255;3202;3315;3046;3275;3075;3059;281;2598;2167;1887;1491;1069;719;430;488
KAB. BOGOR;TENJOLAYA;PEREMPUAN;1814;2951;3009;2647;2906;2658;2672;2581;2394;2006;1766;1386;1141;772;494;564
KAB. BOGOR;KAB. BOGOR;PEREMPUAN;71114;211915;22545;21476;216211;196259;200093;193177;198818;177948;15107;11426;82066;51697;31356;33299
KAB. SUKABUMI;PALABUHANRATU;LAKI-LAKI;1122;4048;4298;4095;4431;3892;3456;3289;3433;3029;2988;2453;1872;1300;925;870
KAB. SUKABUMI;SIMPENAN;LAKI-LAKI;1191;2235;2479;2172;2430;2279;2040;1931;1986;1761;1813;1472;1305;863;567;561
KAB. SUKABUMI;CIKAKAK;LAKI-LAKI;1162;2289;2219;2110;2244;1982;1736;1549;1575;1412;1337;1038;900;678;449;441
KAB. SUKABUMI;BANTARGADUNG;LAKI-LAKI;489;1707;1862;1854;1961;1958;1585;1397;1317;1178;1142;966;815;589;428;421
KAB. SUKABUMI;CISOLOK;LAKI-LAKI;826;3171;3267;3081;3350;3039;2824;2488;2636;2309;2378;1786;1665;1066;820;795
KAB. SUKABUMI;CIKIDANG;LAKI-LAKI;903;3039;3265;3131;3422;3114;2564;2239;2275;2001;1832;1422;1345;963;749;594
KAB. SUKABUMI;LENGKONG;LAKI-LAKI;822;1473;1380;1517;1482;1273;1054;1062;1127;1027;1000;849;793;445;354;365
KAB. SUKABUMI;JAMPANGTENGAH;LAKI-LAKI;1661;2811;2625;2748;3020;2572;2453;2293;2423;2021;2200;2014;1913;1339;997;1080
KAB. SUKABUMI;WARUNGKIARA;LAKI-LAKI;686;2599;2912;2927;3056;2657;2350;2051;2235;1965;1867;1619;1462;952;738;754
KAB. SUKABUMI;CIKEMBAR;LAKI-LAKI;949;3418;3500;3425;3406;3139;3194;2955;3016;2578;2665;2219;1796;1254;970;972
KAB. SUKABUMI;CIBADAK;LAKI-LAKI;2677;5162;5521;5222;5587;4616;4315;4040;4203;3815;3265;2709;2079;1557;1094;837
KAB. SUKABUMI;NAGRAK;LAKI-LAKI;2280;4052;4089;3956;4454;3854;3531;3129;3346;2732;2681;2221;1987;1460;1060;1086
KAB. SUKABUMI;PARUNGKUDA;LAKI-LAKI;1642;3764;3782;3455;3361;3196;2937;2904;3103;2505;2142;1580;1337;923;635;618
KAB. SUKABUMI;BOJONGGENTENG;LAKI-LAKI;536;1895;2034;1819;2057;1919;1592;1463;1554;1284;1014;804;769;498;400;343
KAB. SUKABUMI;PARAKANSALAK;LAKI-LAKI;662;2126;2260;2029;2271;2171;1695;1608;1696;1452;1280;1044;910;609;473;498
KAB. SUKABUMI;CICURUG;LAKI-LAKI;3422;5905;6302;5782;6242;5469;4951;4899;5182;4602;3799;3095;2305;1549;1147;918
KAB. SUKABUMI;CIDAHU;LAKI-LAKI;1834;3655;3620;3351;3543;3306;2893;2904;2795;2248;1935;1520;1241;814;600;626
KAB. SUKABUMI;KALAPANUNGGAL;LAKI-LAKI;1206;2375;2444;2264;2470;2242;2056;1835;1897;1630;1384;1167;966;668;510;457
KAB. SUKABUMI;KABANDUNGAN;LAKI-LAKI;712;2153;2229;2073;2298;2110;1873;1492;1477;1259;1197;1026;869;566;421;427
KAB. SUKABUMI;WALURAN;LAKI-LAKI;403;1060;1169;1147;1265;1061;1017;991;1039;924;1044;820;699;430;319;354
KAB. SUKABUMI;JAMPANGKULON;LAKI-LAKI;986;1970;1893;1916;2108;1787;1605;1560;1575;1511;1598;1361;1086;816;580;652
KAB. SUKABUMI;CIEMAS;LAKI-LAKI;437;1736;1968;1972;2061;1744;1572;1620;1771;1752;1842;1480;1346;780;629;621
KAB. SUKABUMI;KALIBUNDER;LAKI-LAKI;251;993;1166;1176;1237;1017;1011;1053;1223;1057;1114;860;791;496;355;406
KAB. SUKABUMI;SURADE;LAKI-LAKI;1082;2786;3344;3329;3502;3222;2953;2752;3011;2548;2969;2459;2085;1404;1025;1196
KAB. SUKABUMI;CIBITUNG;LAKI-LAKI;300;1115;1240;1243;1396;1196;1007;833;930;927;1131;854;759;515;386;444
KAB. SUKABUMI;CIRACAP;LAKI-LAKI;984;2132;2269;2209;2120;2048;2003;1897;1842;1713;2134;1716;1478;880;691;698
KAB. SUKABUMI;GUNUNGGURUH;LAKI-LAKI;580;2295;2457;2234;2348;2164;1994;1925;2012;1686;1629;1468;1203;834;551;560
KAB. SUKABUMI;CICANTAYAN;LAKI-LAKI;781;2651;2667;2571;2901;2600;2278;2095;2181;1925;1763;1445;1198;881;694;733
KAB. SUKABUMI;CISAAT;LAKI-LAKI;2436;5743;5625;5466;5702;5045;4466;4400;4565;4112;3714;2982;2467;1695;1178;901
KAB. SUKABUMI;KADUDAMPIT;LAKI-LAKI;1170;2790;2768;2560;2794;2491;2299;2213;2234;1950;1772;1417;1227;797;573;611
KAB. SUKABUMI;CARINGIN;LAKI-LAKI;662;2247;2239;2155;2374;2208;1996;1838;1825;1601;1485;1241;1032;692;553;530
KAB. SUKABUMI;SUKABUMI;LAKI-LAKI;1213;2343;2239;2166;2362;2068;1754;1680;1872;1603;1565;1391;1031;778;533;453
KAB. SUKABUMI;SUKARAJA;LAKI-LAKI;2119;3916;3975;3665;3950;3319;3010;2995;3127;2740;2665;2154;1768;1254;810;668
KAB. SUKABUMI;KEBONPEDES;LAKI-LAKI;464;1527;1503;1339;1431;1356;1261;1181;1242;1070;974;828;777;574;388;343
KAB. SUKABUMI;CIREUNGHAS;LAKI-LAKI;495;1620;1626;1449;1590;1495;1327;1214;1173;1089;1081;887;885;614;418;326
KAB. SUKABUMI;SUKALARANG;LAKI-LAKI;888;2133;2180;2048;1922;1830;1798;1620;1751;1409;1226;1007;867;606;400;281
KAB. SUKABUMI;PABUARAN;LAKI-LAKI;576;1583;1646;1758;1884;1575;1385;1433;1595;1494;1489;1232;971;684;417;510
KAB. SUKABUMI;PURABAYA;LAKI-LAKI;861;1759;1765;1775;2077;1748;1426;1470;1521;1443;1442;1220;1135;778;615;582
KAB. SUKABUMI;NYALINDUNG;LAKI-LAKI;1170;2265;2209;2073;2256;2142;1811;1748;1877;1657;1632;1450;1354;1027;741;687
KAB. SUKABUMI;GEGERBITUNG;LAKI-LAKI;544;1808;1765;1741;1930;1834;1576;1408;1414;1207;1291;1189;1164;833;556;488
KAB. SUKABUMI;SAGARANTEN;LAKI-LAKI;306;1502;1852;1828;1800;1535;1384;1353;1697;1609;1719;1540;1424;1052;842;945
KAB. SUKABUMI;CURUGKEMBAR;LAKI-LAKI;592;1069;1255;1073;1314;1100;951;990;1143;1228;1332;1044;938;672;504;556
KAB. SUKABUMI;CIDOLOG;LAKI-LAKI;154;581;583;570;622;520;538;538;602;567;649;596;615;514;373;404
KAB. SUKABUMI;CIDADAP;LAKI-LAKI;214;651;740;711;832;700;576;554;676;642;760;602;647;493;399;473
KAB. SUKABUMI;TEGALBULEUD;LAKI-LAKI;613;1182;1432;1288;1269;1088;1031;1113;1288;1179;1287;1089;947;657;433;480
KAB. SUKABUMI;CIMANGGU;LAKI-LAKI;304;1002;1152;1064;1124;954;851;904;907;835;831;622;559;362;264;263
KAB. SUKABUMI;CIAMBAR;LAKI-LAKI;629;2084;2199;1999;2163;1938;1768;1664;1656;1297;1167;932;777;483;376;363
